O*NET-SOC Code,Title,Workplace Example,Element ID,Element Name,Hot Technology,In Demand
15-1252.00,Software Developers,Chef,2.E.7.a,Configuration management software,Y,N
15-1252.00,Software Developers,Cisco IOS,2.E.13.c,Operating system software,N,N
15-1252.00,Software Developers,Cisco Webex,2.E.16.b,Video conferencing software,Y,N
15-1252.00,Software Developers,Citrix cloud computing software,2.E.12.a,Access software,N,N
15-1252.00,Software Developers,Collaborative Application Markup Language CAML,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Common business oriented language COBOL,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Common Lisp Object System CLOS,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Component object model COM software,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Component-based Scalable Logical Architecture CSLA,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Computer Associates integrated data management system CA-IDMS,2.E.6.d,Data base management system software,N,N
15-1252.00,Software Developers,Computer On-line Real-time Applications Language CORAL 66,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Customer information control system CICS,2.E.6.l,Transaction server software,N,N
15-1252.00,Software Developers,Data analysis software,2.E.9.d,Analytical or scientific software,N,N
15-1252.00,Software Developers,Data definition language DDL,2.E.6.d,Data base management system software,N,N
15-1252.00,Software Developers,Data manipulation language DML,2.E.6.d,Data base management system software,N,N
15-1252.00,Software Developers,DataVision,2.E.6.e,Data base reporting software,N,N
15-1252.00,Software Developers,Defect tracking software,2.E.7.f,Program testing software,N,N
15-1252.00,Software Developers,Delphi Technology,2.E.2.d,Financial analysis software,N,N
15-1252.00,Software Developers,Deployment software,2.E.7.a,Configuration management software,N,N
15-1252.00,Software Developers,Disk operating system DOS,2.E.13.c,Operating system software,N,N
15-1252.00,Software Developers,Distributed component object model DCOM software,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Distributed database management software,2.E.6.d,Data base management system software,N,N
15-1252.00,Software Developers,Django,2.E.7.h,Web platform development software,Y,N
15-1252.00,Software Developers,Docker,2.E.10.a,Application server software,Y,Y
15-1252.00,Software Developers,Document management system software,2.E.5.b,Document management software,N,N
15-1252.00,Software Developers,Document Object Model DOM Scripting,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Dropbox,2.E.16.i,Cloud-based data access and sharing software,N,N
15-1252.00,Software Developers,Drupal,2.E.7.h,Web platform development software,N,N
15-1252.00,Software Developers,Dynamic analysis software,2.E.7.f,Program testing software,N,N
15-1252.00,Software Developers,Dynamic hypertext markup language DHTML,2.E.7.h,Web platform development software,N,N
15-1252.00,Software Developers,Dynamic modeling software,2.E.9.d,Analytical or scientific software,N,N
15-1252.00,Software Developers,E++ pattern language,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Eclipse IDE,2.E.7.b,Development environment software,Y,N
15-1252.00,Software Developers,Eclipse Jersey,2.E.7.h,Web platform development software,N,N
15-1252.00,Software Developers,Eiffel,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Elasticsearch,2.E.6.d,Data base management system software,Y,N
15-1252.00,Software Developers,Embarcadero Delphi,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Embarcadero JBuilder,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Embedded systems development software,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Emerald Software Group Emerald Green Office,2.E.5.a,Content workflow software,N,N
15-1252.00,Software Developers,Encryption software,2.E.14.d,Transaction security and virus protection software,N,N
15-1252.00,Software Developers,Enterprise application integration EAI software,2.E.7.c,Enterprise application integration software,N,N
15-1252.00,Software Developers,Enterprise JavaBeans,2.E.7.h,Web platform development software,N,N
15-1252.00,Software Developers,ESRI ArcGIS software,2.E.16.e,Map creation software,Y,N
15-1252.00,Software Developers,Event-driven State-machines Programming,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Evernote,2.E.4.d,Word processing software,N,N
15-1252.00,Software Developers,Ext JS,2.E.7.h,Web platform development software,N,N
15-1252.00,Software Developers,Extensible hypertext markup language XHTML,2.E.7.h,Web platform development software,N,N
15-1252.00,Software Developers,Extensible markup language XML,2.E.7.c,Enterprise application integration software,Y,N
15-1252.00,Software Developers,Extensible stylesheet language transformations XSLT,2.E.7.h,Web platform development software,N,N
15-1252.00,Software Developers,FaceTime,2.E.16.b,Video conferencing software,N,N
15-1252.00,Software Developers,Fault testing software,2.E.7.f,Program testing software,N,N
15-1252.00,Software Developers,Figma,2.E.7.d,Graphical user interface development software,Y,N
15-1252.00,Software Developers,File server software,2.E.13.a,Filesystem software,N,N
15-1252.00,Software Developers,FileMaker Pro,2.E.6.f,Data base user interface and query software,N,N
15-1252.00,Software Developers,Firewall software,2.E.14.c,Network security and virtual private network VPN equipment software,N,N
15-1252.00,Software Developers,Flipgrid,2.E.4.c,Video creation and editing software,N,N
15-1252.00,Software Developers,Formula translation/translator FORTRAN,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Forth,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Functional testing software,2.E.7.f,Program testing software,N,N
15-1252.00,Software Developers,Gambit Scheme,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Git,2.E.5.c,File versioning software,Y,Y
15-1252.00,Software Developers,GitHub,2.E.10.a,Application server software,Y,Y
15-1252.00,Software Developers,GitLab,2.E.10.a,Application server software,Y,N
15-1252.00,Software Developers,GNU Image Manipulation Program GIMP,2.E.4.b,Graphics or photo imaging software,N,N
15-1252.00,Software Developers,Go,2.E.7.b,Development environment software,Y,Y
15-1252.00,Software Developers,Google Analytics,2.E.6.g,Data mining software,Y,N
15-1252.00,Software Developers,Google Android,2.E.13.c,Operating system software,Y,N
15-1252.00,Software Developers,Google Angular,2.E.7.h,Web platform development software,Y,Y
15-1252.00,Software Developers,Google Cloud software,2.E.11.e,Cloud-based management software,N,N
15-1252.00,Software Developers,Google Docs,2.E.4.d,Word processing software,Y,N
15-1252.00,Software Developers,Google Drive,2.E.16.i,Cloud-based data access and sharing software,N,N
15-1252.00,Software Developers,Google Gmail,2.E.16.a,Electronic mail software,N,N
15-1252.00,Software Developers,Google Looker Analytics,2.E.6.m,Business intelligence and data analysis software,Y,N
15-1252.00,Software Developers,Google Meet,2.E.16.b,Video conferencing software,N,N
15-1252.00,Software Developers,Google Sheets,2.E.4.i,Spreadsheet software,Y,N
15-1252.00,Software Developers,Google Sites,2.E.4.g,Web page creation and editing software,N,N
15-1252.00,Software Developers,Google Slides,2.E.4.f,Presentation software,N,N
15-1252.00,Software Developers,Gradle,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Grafana Labs Grafana Cloud,2.E.7.d,Graphical user interface development software,Y,N
15-1252.00,Software Developers,Graphical user interface GUI builder software,2.E.7.d,Graphical user interface development software,N,N
15-1252.00,Software Developers,Graphical user interface GUI design software,2.E.7.d,Graphical user interface development software,N,N
15-1252.00,Software Developers,GraphQL,2.E.6.f,Data base user interface and query software,Y,N
15-1252.00,Software Developers,GroupMe,2.E.16.d,Instant messaging software,N,N
15-1252.00,Software Developers,Haskell,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Hewlett Packard HP-UX,2.E.13.c,Operating system software,N,N
15-1252.00,Software Developers,Hewlett Packard LoadRunner,2.E.7.f,Program testing software,N,N
15-1252.00,Software Developers,Hibernate ORM,2.E.6.j,Object oriented data base management software,Y,N
15-1252.00,Software Developers,Hypertext markup language HTML,2.E.7.h,Web platform development software,Y,Y
15-1252.00,Software Developers,IBM AIX,2.E.13.c,Operating system software,N,N
15-1252.00,Software Developers,IBM Cognos Impromptu,2.E.6.m,Business intelligence and data analysis software,N,N
15-1252.00,Software Developers,IBM DB2,2.E.6.f,Data base user interface and query software,Y,N
15-1252.00,Software Developers,IBM Domino,2.E.12.b,Communications server software,N,N
15-1252.00,Software Developers,IBM InfoSphere DataStage,2.E.7.c,Enterprise application integration software,N,N
15-1252.00,Software Developers,IBM Middleware,2.E.6.l,Transaction server software,N,N
15-1252.00,Software Developers,IBM Notes,2.E.16.a,Electronic mail software,N,N
15-1252.00,Software Developers,IBM Power Systems software,2.E.17.a,Enterprise system management software,N,N
15-1252.00,Software Developers,IBM Rational ClearCase,2.E.7.a,Configuration management software,N,N
15-1252.00,Software Developers,IBM Rational ClearQuest,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,IBM Rational PurifyPlus,2.E.7.f,Program testing software,N,N
15-1252.00,Software Developers,IBM Rational RequisitePro,2.E.7.g,Requirements analysis and system architecture software,N,N
15-1252.00,Software Developers,IBM Rational Rose XDE,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,IBM SPSS Statistics,2.E.9.d,Analytical or scientific software,Y,N
15-1252.00,Software Developers,IBM Terraform,2.E.7.a,Configuration management software,Y,Y
15-1252.00,Software Developers,IBM WebSphere,2.E.11.e,Cloud-based management software,N,N
15-1252.00,Software Developers,IBM WebSphere MQ,2.E.11.e,Cloud-based management software,Y,N
15-1252.00,Software Developers,IBM z/OS operating systems,2.E.13.b,Network operation system software,N,N
15-1252.00,Software Developers,ICON programming language,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,IEA Software Emerald,2.E.6.f,Data base user interface and query software,N,N
15-1252.00,Software Developers,Informatica software,2.E.6.i,Metadata management software,Y,N
15-1252.00,Software Developers,Integrated development environment IDE software,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Integration testing software,2.E.7.f,Program testing software,N,N
15-1252.00,Software Developers,Interface definition language IDL,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Interoperability testing software,2.E.7.f,Program testing software,N,N
15-1252.00,Software Developers,Interstate connection ICON,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,J,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,JamBoard,2.E.4.b,Graphics or photo imaging software,N,N
15-1252.00,Software Developers,JavaScript,2.E.7.h,Web platform development software,Y,Y
15-1252.00,Software Developers,JavaScript framework software,2.E.7.h,Web platform development software,N,N
15-1252.00,Software Developers,JavaScript Object Notation JSON,2.E.7.h,Web platform development software,Y,N
15-1252.00,Software Developers,Jenkins CI,2.E.7.c,Enterprise application integration software,Y,Y
15-1252.00,Software Developers,JFrog Artifactory,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Job control language JCL,2.E.13.c,Operating system software,N,N
15-1252.00,Software Developers,jQuery,2.E.7.e,Object or component oriented development software,Y,N
15-1252.00,Software Developers,JUnit,2.E.7.f,Program testing software,Y,N
15-1252.00,Software Developers,Jupyter Notebook,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,KornShell,2.E.13.c,Operating system software,N,N
15-1252.00,Software Developers,Kotlin,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Kubernetes,2.E.10.a,Application server software,Y,Y
15-1252.00,Software Developers,LAMP Stack,2.E.7.h,Web platform development software,N,N
15-1252.00,Software Developers,LexisNexis,2.E.6.h,Information retrieval or search software,N,N
15-1252.00,Software Developers,LibreOffice,2.E.1.k,Office suite software,N,N
15-1252.00,Software Developers,LinkedIn,2.E.4.g,Web page creation and editing software,N,N
15-1252.00,Software Developers,Linux,2.E.13.c,Operating system software,Y,Y
15-1252.00,Software Developers,List processing language LISP,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Load testing software,2.E.7.f,Program testing software,N,N
15-1252.00,Software Developers,LogMeIn GoToMeeting,2.E.16.b,Video conferencing software,N,N
15-1252.00,Software Developers,LogMeIn GoToWebinar,2.E.16.c,Network conferencing software,N,N
15-1252.00,Software Developers,Loom,2.E.4.c,Video creation and editing software,N,N
15-1252.00,Software Developers,Magellan Firmware,2.E.13.c,Operating system software,N,N
15-1252.00,Software Developers,Management information systems MIS,2.E.2.b,Enterprise resource planning ERP software,N,N
15-1252.00,Software Developers,Marketo Marketing Automation,2.E.1.l,Sales and marketing software,Y,N
15-1252.00,Software Developers,MathWorks Simulink,2.E.9.d,Analytical or scientific software,N,N
15-1252.00,Software Developers,McAfee,2.E.14.d,Transaction security and virus protection software,N,N
15-1252.00,Software Developers,Microservices Architecture,2.E.10.a,Application server software,N,N
15-1252.00,Software Developers,Microsoft .NET Framework,2.E.7.b,Development environment software,Y,N
15-1252.00,Software Developers,Microsoft Access,2.E.6.f,Data base user interface and query software,Y,N
15-1252.00,Software Developers,Microsoft Active Directory,2.E.10.d,Internet directory services software,Y,N
15-1252.00,Software Developers,Microsoft Active Server Pages ASP,2.E.7.h,Web platform development software,Y,N
15-1252.00,Software Developers,Microsoft ActiveX,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Microsoft ASP.NET,2.E.7.h,Web platform development software,Y,N
15-1252.00,Software Developers,Microsoft ASP.NET Core MVC,2.E.7.h,Web platform development software,N,N
15-1252.00,Software Developers,Microsoft Azure DevOps Services,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Microsoft Azure software,2.E.7.b,Development environment software,Y,Y
15-1252.00,Software Developers,Microsoft DirectX,2.E.15.c,Device drivers or system software,N,N
15-1252.00,Software Developers,Microsoft Dynamics,2.E.2.b,Enterprise resource planning ERP software,N,N
15-1252.00,Software Developers,Microsoft Dynamics GP,2.E.2.b,Enterprise resource planning ERP software,N,N
15-1252.00,Software Developers,Microsoft ESP SDK,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Microsoft Excel,2.E.4.i,Spreadsheet software,Y,N
15-1252.00,Software Developers,Microsoft Exchange,2.E.16.a,Electronic mail software,N,N
15-1252.00,Software Developers,Microsoft Internet Information Services (IIS),2.E.6.l,Transaction server software,N,N
15-1252.00,Software Developers,Microsoft Office software,2.E.1.k,Office suite software,Y,N
15-1252.00,Software Developers,Microsoft OneNote,2.E.4.d,Word processing software,N,N
15-1252.00,Software Developers,Microsoft Outlook,2.E.16.a,Electronic mail software,Y,N
15-1252.00,Software Developers,Microsoft Power Automate,2.E.7.c,Enterprise application integration software,Y,N
15-1252.00,Software Developers,Microsoft Power BI,2.E.6.m,Business intelligence and data analysis software,Y,N
15-1252.00,Software Developers,Microsoft Power Platform software,2.E.7.c,Enterprise application integration software,Y,N
15-1252.00,Software Developers,Microsoft PowerPoint,2.E.4.f,Presentation software,Y,N
15-1252.00,Software Developers,Microsoft PowerShell,2.E.7.b,Development environment software,Y,N
15-1252.00,Software Developers,Microsoft Project,2.E.1.e,Project management software,Y,N
15-1252.00,Software Developers,Microsoft Publisher,2.E.4.k,Desktop publishing software,N,N
15-1252.00,Software Developers,Microsoft SharePoint,2.E.5.b,Document management software,Y,N
15-1252.00,Software Developers,Microsoft SQL Server,2.E.6.f,Data base user interface and query software,Y,N
15-1252.00,Software Developers,Microsoft SQL Server Integration Services SSIS,2.E.7.c,Enterprise application integration software,Y,N
